Date : 2026-02-12 15:14:43
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps
Total : 591 files,  -4156 codes, -201 comments, -1047 blanks, all -5404 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         35 |      1,237 |          6 |        225 |      1,468 |
| PostCSS            |          1 |        157 |          0 |         22 |        179 |
| SCSS               |          1 |        120 |          0 |         28 |        148 |
| HTML               |          2 |         52 |          0 |          2 |         54 |
| Markdown           |          1 |         10 |          0 |          7 |         17 |
| XML                |          1 |          4 |          0 |          1 |          5 |
| JSON with Comments |         12 |       -131 |          0 |        -10 |       -141 |
| JSON               |         18 |       -566 |          0 |        -16 |       -582 |
| TypeScript         |        520 |     -5,039 |       -207 |     -1,306 |     -6,552 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| web\src\shared\infrastructure\ui-engine                                                                                                        |         65 |      1,267 |        104 |        247 |      1,618 |
| web\src\shared\infrastructure\ui-engine (Files)                                                                                                |          1 |          1 |          0 |          1 |          2 |
| web\src\shared\infrastructure\ui-engine\graph-options                                                                                          |          4 |         99 |          0 |         14 |        113 |
| web\src\shared\infrastructure\ui-engine\graph-options (Files)                                                                                  |          2 |         38 |          0 |          4 |         42 |
| web\src\shared\infrastructure\ui-engine\graph-options\connecting                                                                               |          2 |         61 |          0 |         10 |         71 |
| web\src\shared\infrastructure\ui-engine\lib                                                                                                    |         17 |        178 |         10 |         43 |        231 |
| web\src\shared\infrastructure\ui-engine\lib (Files)                                                                                            |          1 |          3 |          0 |          1 |          4 |
| web\src\shared\infrastructure\ui-engine\lib\connecting                                                                                         |          6 |         89 |         10 |         19 |        118 |
| web\src\shared\infrastructure\ui-engine\lib\logic-values                                                                                       |          5 |         47 |          0 |         12 |         59 |
| web\src\shared\infrastructure\ui-engine\lib\ports                                                                                              |          5 |         39 |          0 |         11 |         50 |
| web\src\shared\infrastructure\ui-engine\model                                                                                                  |         15 |        309 |          0 |         43 |        352 |
| web\src\shared\infrastructure\ui-engine\model (Files)                                                                                          |          3 |         43 |          0 |         16 |         59 |
| web\src\shared\infrastructure\ui-engine\model\nodes-spec                                                                                       |         12 |        266 |          0 |         27 |        293 |
| web\src\shared\infrastructure\ui-engine\model\nodes-spec (Files)                                                                               |          3 |         56 |          0 |          7 |         63 |
| web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic                                                                                 |          9 |        210 |          0 |         20 |        230 |
| web\src\shared\infrastructure\ui-engine\plugins                                                                                                |          8 |        189 |         20 |         38 |        247 |
| web\src\shared\infrastructure\ui-engine\plugins (Files)                                                                                        |          1 |          8 |          0 |          2 |         10 |
| web\src\shared\infrastructure\ui-engine\plugins\behavior                                                                                       |          2 |         19 |          1 |          5 |         25 |
| web\src\shared\infrastructure\ui-engine\plugins\tools                                                                                          |          5 |        162 |         19 |         31 |        212 |
| web\src\shared\infrastructure\ui-engine\presets-registry                                                                                       |          3 |         61 |          0 |         12 |         73 |
| web\src\shared\infrastructure\ui-engine\public                                                                                                 |          3 |         73 |          0 |         19 |         92 |
| web\src\shared\infrastructure\ui-engine\services                                                                                               |         14 |        357 |         74 |         77 |        508 |
| web\src\shared\infrastructure\ui-engine\services (Files)                                                                                       |          1 |         13 |          0 |          3 |         16 |
| web\src\shared\infrastructure\ui-engine\services\edges                                                                                         |          4 |         14 |         73 |         13 |        100 |
| web\src\shared\infrastructure\ui-engine\services\nodes                                                                                         |          4 |        130 |          0 |         23 |        153 |
| web\src\shared\infrastructure\ui-engine\services\nodes (Files)                                                                                 |          2 |         36 |          0 |         10 |         46 |
| web\src\shared\infrastructure\ui-engine\services\nodes\lib                                                                                     |          2 |         94 |          0 |         13 |        107 |
| web\src\shared\infrastructure\ui-engine\services\ports                                                                                         |          2 |        134 |          1 |         21 |        156 |
| web\src\shared\infrastructure\ui-engine\services\snapshot                                                                                      |          3 |         66 |          0 |         17 |         83 |
| web\src\shared\lib                                                                                                                             |          9 |        109 |          6 |         30 |        145 |
| web\src\shared\ui                                                                                                                              |         20 |        647 |          2 |        144 |        793 |
| web\src\shared\ui (Files)                                                                                                                      |          8 |        248 |          2 |         48 |        298 |
| web\src\shared\ui\Container                                                                                                                    |          2 |         32 |          0 |          6 |         38 |
| web\src\shared\ui\ContextMenu                                                                                                                  |          1 |         37 |          0 |          8 |         45 |
| web\src\shared\ui\ListScroller                                                                                                                 |          7 |        209 |          0 |         53 |        262 |
| web\src\shared\ui\styles                                                                                                                       |          2 |        121 |          0 |         29 |        150 |
| web\src\widgets                                                                                                                                |         18 |        612 |          2 |         90 |        704 |
| web\src\widgets\TabBar                                                                                                                         |         14 |        331 |          0 |         57 |        388 |
| web\src\widgets\TabBar (Files)                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| web\src\widgets\TabBar\ui                                                                                                                      |         13 |        330 |          0 |         56 |        386 |
| web\src\widgets\TabBar\ui (Files)                                                                                                              |          6 |        166 |          0 |         24 |        190 |
| web\src\widgets\TabBar\ui\TabButton                                                                                                            |          5 |        123 |          0 |         24 |        147 |
| web\src\widgets\TabBar\ui\TabContextMenu                                                                                                       |          2 |         41 |          0 |          8 |         49 |
| web\src\widgets\Workspace                                                                                                                      |          4 |        281 |          2 |         33 |        316 |
| web\src\widgets\Workspace (Files)                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| web\src\widgets\Workspace\ui                                                                                                                   |          3 |        280 |          2 |         32 |        314 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\index.html                                                                             | HTML               |         41 |          0 |          1 |         42 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\package.json                                                                           | JSON               |         44 |          0 |          1 |         45 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\playground.html                                                                        | HTML               |         11 |          0 |          1 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\TODO.md                                                                            | Markdown           |         10 |          0 |          7 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\App.tsx                                                                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\providers\AppProvider.tsx                                                      | TypeScript JSX     |         30 |          0 |          7 |         37 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\CircuitService\createCircuitService.ts                        | TypeScript         |         17 |          0 |          7 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\CircuitService\index.ts                                       | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\CircuitService\types.ts                                       | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\ScopeManager.ts                                               | TypeScript         |        106 |        182 |         70 |        358 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\ScopeProvider.tsx                                             | TypeScript JSX     |         42 |          0 |          9 |         51 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\TabService\createTabService.ts                                | TypeScript         |         42 |          0 |         17 |         59 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\TabService\index.ts                                           | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\TabService\types.ts                                           | TypeScript         |          3 |          0 |          3 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\guards.ts                                                     | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\types.ts                                                      | TypeScript         |         29 |          0 |          8 |         37 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\entities\model\Scope\utils.ts                                                      | TypeScript         |          7 |          0 |          4 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\nodes\useAddBaseLogic.ts                                                  | TypeScript         |         33 |          0 |          8 |         41 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useCloseTab.ts                                                       | TypeScript         |         38 |          3 |         15 |         56 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useOpenTab.ts                                                        | TypeScript         |         46 |          0 |         14 |         60 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useUpdateTabTitle.ts                                                 | TypeScript         |          7 |          2 |          4 |         13 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\index.css                                                                          | PostCSS            |        157 |          0 |         22 |        179 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\index.tsx                                                                          | TypeScript JSX     |         13 |          0 |          4 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\processes\workspace-sync\bridge.ts                                                 | TypeScript         |        150 |          0 |         37 |        187 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\processes\workspace-sync\index.ts                                                  | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\ArrowIcon.tsx                                         | TypeScript JSX     |         27 |          2 |          6 |         35 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\CrossIcon.tsx                                         | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\LogoIcon.tsx                                          | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\PlusIcon.tsx                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\index.ts                                              | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\workspace_tile.svg                                                   | XML                |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\config\config.ts                                                            | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\config\index.ts                                                             | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\enum.ts                                                                     | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\usePreventEvent.ts                                                    | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\bindPointerDrag.ts                                        | TypeScript         |         49 |          0 |         17 |         66 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\bindWheelZoom.ts                                          | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\index.ts                                                  | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useDraggable.ts                                           | TypeScript         |         84 |          0 |         19 |        103 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useViewport.ts                                            | TypeScript         |         90 |          0 |         14 |        104 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useViewportBinding.ts                                     | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useZoomable.ts                                            | TypeScript         |         44 |          0 |          9 |         53 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\EngineProvider.tsx                               | TypeScript JSX     |         19 |          0 |          5 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\applyEngineEvents.ts                             | TypeScript         |         63 |          0 |         12 |         75 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\client.ts                                        | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\index.ts                                         | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\worker.ts                                        | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\index.ts                                                     | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\connecting\createConnectingConfig.ts | TypeScript         |         60 |          0 |          9 |         69 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\connecting\index.ts                  | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\graphOptions.ts                      | TypeScript         |         36 |          0 |          3 |         39 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\index.ts                             | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\index.ts                                           | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\hasIncomingOnPort.ts                | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\index.ts                            | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\isValidEdgeEndpoints.ts             | TypeScript         |         17 |          0 |          4 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\mkEdge.ts                           | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\normalizeConnection.ts              | TypeScript         |         30 |         10 |          8 |         48 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\resolveRouterName.ts                | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\index.ts                                       | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\get-value.ts                      | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\index.ts                          | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\remove-value.ts                   | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\set-value.ts                      | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\value-encoding.ts                 | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\buildPortClass.ts                        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\decode-encode.ts                         | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\getPortKind.ts                           | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\index.ts                                 | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\isPortMagnet.ts                          | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\constants.ts                                 | TypeScript         |         16 |          0 |          6 |         22 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\index.ts                                     | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\base.ts                           | TypeScript         |         44 |          0 |          4 |         48 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\index.ts                          | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\and.ts                      | TypeScript         |         25 |          0 |          2 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\buffer.ts                   | TypeScript         |         15 |          0 |          2 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\index.ts                    | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nand.ts                     | TypeScript         |         26 |          0 |          2 |         28 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\nor.ts                      | TypeScript         |         24 |          0 |          2 |         26 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\not.ts                      | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\or.ts                       | TypeScript         |         24 |          0 |          2 |         26 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\xnor.ts                     | TypeScript         |         28 |          0 |          2 |         30 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\logic\xor.ts                      | TypeScript         |         28 |          0 |          2 |         30 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\nodes-spec\types.ts                          | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\model\types.ts                                     | TypeScript         |         24 |          0 |          9 |         33 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\behavior\bringToFront.ts                   | TypeScript         |         18 |          1 |          4 |         23 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\behavior\index.ts                          | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\index.ts                                   | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\_edgeSignals.ts                      | TypeScript         |          0 |         17 |          4 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\edgeEditTools.ts                     | TypeScript         |        113 |          1 |         19 |        133 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\edgeValueClassOnConnect.ts           | TypeScript         |         16 |          1 |          4 |         21 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\index.ts                             | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\plugins\tools\selection.ts                         | TypeScript         |         30 |          0 |          3 |         33 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\index.ts                          | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\registerNodes.ts                  | TypeScript         |         25 |          0 |          3 |         28 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\presets-registry\registerPortLayouts.ts            | TypeScript         |         30 |          0 |          7 |         37 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\UIEngineProvider.tsx                        | TypeScript JSX     |         44 |          0 |         11 |         55 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\createUIEngine.ts                           | TypeScript         |         27 |          0 |          7 |         34 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\public\index.ts                                    | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\_bindings.ts                        | TypeScript         |          0 |         32 |          3 |         35 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\_signals.ts                         | TypeScript         |          0 |         34 |          4 |         38 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\api.ts                              | TypeScript         |         13 |          7 |          5 |         25 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\edges\index.ts                            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\index.ts                                  | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\api.ts                              | TypeScript         |         35 |          0 |          9 |         44 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\index.ts                            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\lib\calcNodeSize.ts                 | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\nodes\lib\propsBuilder.ts                 | TypeScript         |         72 |          0 |          8 |         80 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\ports\api.ts                              | TypeScript         |        133 |          1 |         20 |        154 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\ports\index.ts                            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\snapshot\api.ts                           | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\snapshot\index.ts                         | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\services\snapshot\lib.ts                           | TypeScript         |         46 |          0 |         11 |         57 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\DOM.ts                                                                  | TypeScript         |         10 |          0 |          2 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\array.ts                                                                | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\canZoom.ts                                                              | TypeScript         |          7 |          6 |          2 |         15 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\directionToDegrees.ts                                                   | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\guards.ts                                                               | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\logic-values.ts                                                         | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\math.ts                                                                 | TypeScript         |         25 |          0 |          6 |         31 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\path.ts                                                                 | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\lib\whatButtonClicked.ts                                                    | TypeScript         |         20 |          0 |          7 |         27 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\types.ts                                                                    | TypeScript         |         10 |          0 |          5 |         15 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\AutoWidthInput.tsx                                                       | TypeScript JSX     |         53 |          2 |          9 |         64 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\Container\ContainerBoundary.tsx                                          | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\Container\ContainerContext.tsx                                           | TypeScript JSX     |         23 |          0 |          3 |         26 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ContextMenu\styles.ts                                                    | TypeScript         |         37 |          0 |          8 |         45 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\EditableText.tsx                                                         | TypeScript JSX     |         55 |          0 |         13 |         68 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\Container.tsx                                               | TypeScript JSX     |          7 |          0 |          3 |         10 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\List.tsx                                                    | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\ui\ListScroller\ListScroller.tsx                                            | TypeScript JSX     |         20 |          0 |          4 |         24 |
